topleft
-96	91	170
topright
-159	-113	282
bottomleft
-94	-40	306
bottomright
-162	-220	221
-134	13	253
-141	9	248
-164	-18	241
-182	-50	224
-171	-33	235
-155	-7	241
-149	11	238
-143	23	230
-135	41	215
-107	70	207
-159	32	183
-178	6	183
-183	-5	189
-193	-28	191
-193	-23	189
-191	-24	189
-188	-11	189
-188	-13	185
-183	-10	201
-179	-11	209
-173	-6	215
-183	-15	200
-182	-15	203
-179	-16	214
-178	-18	218
-180	-19	217
-182	-20	214
-186	-30	210
-187	-26	213
-183	-20	214
-183	-22	212
-184	-19	213
-180	-18	210
-181	-16	213
-177	-12	211
-175	-10	212
-172	-8	215
-170	-5	211
-166	-3	218
-160	2	221
-154	7	227
-151	9	227
-147	12	234
-143	12	234
-140	13	237
-138	16	236
-135	18	238
-137	14	244
-141	10	243
-140	3	246
-137	2	247
-137	2	248
-145	9	229
-146	20	216
-144	25	212
-141	34	208
-137	37	211
-135	37	215
-129	41	216
-125	42	225
-116	45	233
-101	54	241
-93	59	237
-83	68	238
-72	76	231
-62	85	223
-61	86	222
-63	88	219
-56	96	201
-49	104	185
-54	105	182
-64	103	173
-65	104	172
-69	100	162
-71	103	159
-74	100	156
-75	101	157
-75	100	154
-76	100	157
-79	99	153
-78	100	154
-79	99	150
-81	100	139
-78	100	132
-79	97	120
-81	96	116
-83	96	114
-85	94	112
-88	93	113
-90	96	124
-91	96	140
-94	91	170
-95	85	197
-101	74	213
-105	68	219
-106	61	234
-110	50	243
-144	19	240
-120	15	269
-110	3	286
-126	0	274
-131	11	263
-144	-11	264
-113	19	273
-81	15	298
-83	-7	309
-29	-30	337
-26	-52	345
-39	-85	346
-28	-89	351
-31	-127	348
-31	-149	345
-60	-118	341
-97	-102	324
-111	-85	317
-117	-80	310
-123	-67	302
-125	-58	302
-117	-69	307
-107	-105	317
-87	-126	331
-62	-115	340
-65	-102	340
-76	-94	336
-77	-119	334
-67	-105	338
-131	-72	300
-171	-50	252
-172	-38	242
-149	-15	264
-145	-11	261
-152	-16	258
-169	-51	258
-172	-68	257
-161	-66	272
-158	-59	273
-149	-64	285
-142	-87	296
-126	-104	308
-130	-118	306
-131	-134	302
-132	-156	296
-129	-156	299
-128	-162	299
-126	-170	297
-119	-188	293
-98	-211	296
-84	-215	303
-84	-206	310
-81	-186	319
-56	-159	340
-53	-167	335
-54	-170	337
-53	-159	341
-45	-141	344
-46	-126	346
-42	-120	347
-43	-123	348
-60	-130	343
-109	-104	318
-126	-85	310
-134	-80	300
-148	-83	288
-153	-92	286
-156	-96	279
-159	-99	277
-161	-96	275
-162	-91	272
-162	-89	270
-160	-84	272
-158	-75	271
-155	-75	276
-149	-67	279
-142	-60	282
-138	-44	283
-128	-19	279
-123	-10	281
-126	-17	282
-133	-35	283
-138	-46	284
-141	-57	282
-148	-73	281
-154	-82	274
-155	-88	275
-158	-100	273
-160	-104	271
-159	-104	270
-159	-107	273
-160	-110	270
-164	-116	268
-163	-118	265
-165	-113	265
-161	-104	268
-159	-99	274
-157	-94	271
-156	-93	273
-155	-93	274
-155	-89	276
-155	-90	276
-155	-91	276
-154	-88	273
-155	-84	273
-154	-75	277
-148	-60	275
-143	-48	278
-139	-44	281
-137	-40	279
-134	-37	286
-124	-29	286
-121	-28	290
-123	-28	290
-120	-24	288
-116	-22	292
-115	-19	292
-112	-17	291
-112	-17	292
-114	-18	292
-113	-16	291
-111	-18	291
-118	-21	290
-140	-37	279
-158	-55	267
-165	-73	263
-165	-82	266
-139	-84	291
-139	-69	291
-137	-72	291
-134	-76	297
-130	-82	300
-114	-100	312
-71	-125	334
-56	-143	339
-51	-139	340
-93	-84	324
-130	-44	293
-158	-42	261
-176	-46	240
-183	-33	217
-178	-28	222
-174	-26	229
-164	-20	243
-148	-16	262
-159	-14	247
-156	1	237
-154	20	223
-148	29	213
-154	34	199
-154	34	193
-155	37	190
-166	23	180
-178	7	186
-174	1	206
-169	2	219
-136	-2	270
-118	-37	299
-99	-68	319
-85	-69	326
-92	-64	320
-93	-65	320
-104	-62	314
-96	-55	319
-87	-41	317
-79	-36	320
-73	-28	322
-65	-19	321
-63	-15	320
-73	-12	313
-80	0	304
-70	11	303
-31	11	315
-20	-3	327
-13	-13	332
-13	-31	339
-6	-24	338
10	4	326
4	-25	339
16	-44	346
41	-65	350
85	-78	346
96	-106	344
41	-142	353
-17	-149	349
-24	-155	348
-71	-135	336
-43	-120	347
35	-100	356
96	-88	343
110	-89	338
110	-87	338
99	-91	343
-6	-136	354
-113	-133	314
-169	-69	260
-171	-54	253
-159	-26	252
-136	-29	278
-135	-42	279
-146	-15	257
-154	5	228
-156	12	217
-147	6	239
-134	5	257
-128	2	265
-131	10	259
-126	14	254
-126	16	256
-143	13	241
-145	21	233
-139	53	174
-144	47	179
-143	39	200
-144	33	212
-146	29	215
-147	18	231
-147	10	238
