204	5	77
201	4	81
202	3	81
204	3	79
204	3	78
203	3	78
206	2	79
205	4	78
205	1	78
205	2	78
204	2	79
203	2	79
202	-1	81
201	0	81
205	2	79
202	1	80
201	0	81
203	0	81
201	-1	85
205	1	80
205	1	78
204	0	78
205	-1	78
201	-2	80
203	-1	80
204	0	78
205	0	77
203	-3	80
204	-3	79
205	-3	78
207	-7	75
206	-9	71
204	-7	74
204	-3	70
201	1	72
200	0	69
196	-2	69
198	-3	68
199	0	62
195	4	65
190	11	68
175	24	65
164	38	64
149	50	62
135	55	63
125	66	60
117	70	63
108	74	66
101	82	61
95	84	62
87	87	61
78	86	62
74	90	62
67	93	59
60	96	55
48	95	50
45	95	49
39	91	43
39	88	47
42	93	46
44	89	48
55	88	42
78	83	56
125	72	79
164	52	86
171	44	87
178	34	92
181	33	97
190	28	98

204	5	77
201	4	81
202	3	81
204	3	79
204	3	78
203	3	78
206	2	79
205	4	78
205	1	78
205	2	78
204	2	79
203	2	79
202	-1	81
201	0	81
205	2	79
202	1	80
201	0	81
203	0	81
201	-1	85
205	1	80
205	1	78
204	0	78
205	-1	78
201	-2	80
203	-1	80
204	0	78
205	0	77
203	-3	80
204	-3	79
205	-3	78
207	-7	75
206	-9	71
204	-7	74
204	-3	70
201	1	72
200	0	69
196	-2	69
198	-3	68
199	0	62
195	4	65
190	11	68
175	24	65
164	38	64
149	50	62
135	55	63
125	66	60
117	70	63
108	74	66
101	82	61
95	84	62
87	87	61
78	86	62
74	90	62
67	93	59
60	96	55
48	95	50
45	95	49
39	91	43
39	88	47
42	93	46
44	89	48
55	88	42
78	83	56
125	72	79
164	52	86
171	44	87
178	34	92
181	33	97
190	28	98
199	-59	44
199	-57	43
202	-58	40
198	-59	43
200	-55	40
196	-50	44
187	-15	44
169	18	55
139	57	61
108	80	59
84	89	57
66	90	55
48	94	50
31	96	45
17	96	40
15	94	42
16	95	42
19	93	46
22	94	47
23	95	47
22	97	44
25	95	44
23	93	46
22	93	44
22	96	40
22	93	43
23	91	45
